CaseID,CaseNumber,CaseTypeId,CaseType,CaseWorkclassId,CaseWorkclass,CaseStatusId,CaseStatus,DateApplied,Address,Description
10655920-02B6-41EA-A005-22811B40CADA,2015-2837,607b1e14-17ba-09ab-1a51-a534a7cdd799,Mechanical (Stand Alone),70633eeb-6076-c776-de44-f7277c18a69e,Standalone,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T05:00:00Z,600 APACHE TRL LEANDER TX 78641,Replace Condensing unit
DA795285-57F9-4ECC-960A-075B73EE3DAA,2015-2838,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T15:42:00Z,1416 PINOT NOIR ST LEANDER TX 78641,NEW SNGL FAM RES
3BA5396C-3FB6-4590-B89F-2BFAEB9A57CA,2015-2839,24e41058-5bd6-df47-0e0b-c4f38a4ceb5d,Pool  - Residential Pool/Spa,78bc4aac-c830-60b4-b853-a01c6e906654,Residential Pool/Spa,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T15:52:00Z,3004 VISTA HEIGHTS DR LEANDER TX 78641,"New pool and decking, with fire/water feature"
C1688968-FE3A-4EB0-9969-89A9E9449C48,2015-2840,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T15:57:00Z,1724 BURR PKWY LEANDER TX 78641,irrigation
B05F5D9C-1811-4770-8B2E-5ADF17FEE373,2015-2841,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T16:04:00Z,3708 JUNIPER RIM RD LEANDER TX 78641,NEW RES SNGL FAM
4F7D22C9-C896-4061-AB07-D5FB1749B2A6,2015-2842,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T16:27:00Z,3312 VISTA HEIGHTS DR LEANDER TX 78641,NEW RES SNGL FAM
98A78731-2066-4401-BD79-E055CCCCD8A4,2015-2843,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T17:16:00Z,2112 BUFFALO GAP LEANDER TX 78641,sprinkler system
6D626EEF-5A54-489D-9887-79570D8D1B20,2015-2844,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T17:23:00Z,3924 VENEZIA VW LEANDER TX 78641,sprinkler system
4193E144-09E7-48F8-B162-44619A6AA100,2015-2845,24e41058-5bd6-df47-0e0b-c4f38a4ceb5d,Commercial Pool/Spa,11f1f808-f60f-ca52-d9a8-8b4d61bdb563,Commercial Pool/Spa,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-01T16:02:00Z,2225 Abilene Lane Leander TX 78641,Pool and Splash
26EB9D69-C5B7-4C69-8BD8-E15304B04240,2015-2848,a5f44bf3-4fba-4b55-9e72-b0dc246f6a14,Sign Permit,b57e5881-7e9e-4b7c-bda5-7ac227627c99,Sign,486d9638-0665-4e42-80d7-070607fb046f,Expired,2015-04-01T17:02:00Z,11880 OLD 2243 W suite 203 lenader TX 78641,Sign Super Donuts.
